"","cdc28_13_37_2h_rep1_Aligned.sortedByCoord.out.bam","cdc28_13_37_2h_rep2_Aligned.sortedByCoord.out.bam","cdc28_13_37_2h_rep3_Aligned.sortedByCoord.out.bam","cdc28_13_37_8h_rep1_Aligned.sortedByCoord.out.bam","cdc28_13_37_8h_rep2_Aligned.sortedByCoord.out.bam","cdc28_13_37_8h_rep3_Aligned.sortedByCoord.out.bam","WT_37_2h_rep1_Aligned.sortedByCoord.out.bam","WT_37_2h_rep2_Aligned.sortedByCoord.out.bam","WT_37_2h_rep3_Aligned.sortedByCoord.out.bam","WT_37_8h_rep1_Aligned.sortedByCoord.out.bam","WT_37_8h_rep2_Aligned.sortedByCoord.out.bam","WT_37_8h_rep3_Aligned.sortedByCoord.out.bam"
"YDL246C",1.5,4,1,26,14.5,14.17,1.5,2.5,1.5,0,3.5,0.5
"YDL243C",2.25,0.25,2,5.25,2.75,6,4.5,0.83,0.33,2.2,2.08,1.33
"YDR387C",3,3,12,3,2,1,6,10,2,2,7,0
"YDL094C",6,5.5,6,3,2,2,9,8.5,8,3.5,1.5,3
"YDR438W",6,1,3,2,0,1,3,3,2,6,2,3.25
"YDR523C",3,0,1,4,6,5,2,1,2,0.1,1,4
"YDR542W",0.28,0,0.5,0.2,0.12,0.11,0,0,0.45,0.11,0,0.1
"YDR492W",16.5,15.5,15,10,12.5,11,21.5,30,7,28,37.5,24
"YDR018C",0,1,4,5,2,1,0,2,6,1,3,0
"YDL189W",10,10,19,5,5,4,14,22,13,14,21,17
"YDR508C",54,57,56.5,13,12,9,67,80,54,56.5,90.5,75.67
"YDR462W",3,3,6,3,2,3,4,3,4,1,6,5
"YDR175C",7,8,10,2,0,0,8,7,6,8,16,9
"YDR186C",24,34,27,58.5,35,39,40,50,33,44,51,37
"YDR150W",64,60.67,69.14,36,18.5,23.5,101,105,83.57,95.75,108,124.62
"YDR243C",8,11,7,3,1,4,9,10,15.17,10,7,8
"YDL182W",28.5,26,20.25,9.5,4.5,12.5,17,28.5,22,25.5,17,30.5
"YDR362C",6,11,10,7,6,1,9,10,5,3,6,1
"YDR232W",65,49,42,19,10,7,45,54,40,55,70,73
"YDR158W",61,77,89,7,12,6,85,60,50.17,90,94,103
"YDR439W",4,8,9,4,1,4,5,3,5,5,9,7
"YDL206W",17,6,9,8,13,8,7.25,13,7,10,11,7
"YDR125C",7,6,4,16,16,13,1,2,5,7,7,1
"YDR338C",8,10.61,6,8,3,6,5,9,10,9,9,5
"YDR526C",4,1.5,3,1,1,1,2.5,3,2.5,2,4,3
"YDR533C",4,8,5,79,72.5,78,3,9,6,3,5,6
"YDR272W",14,20.5,20,26,16,9,10,16,7,12,17,13
"YDR197W",10.74,13.45,13.32,6.17,1,5.83,10.71,5.92,9,12.83,9.73,11.71
"YDR512C",5,4,6.5,1,1,2,7,7,4,4,7,4
"YDR489W",5.5,5,5.5,1,1,2,5,6.25,4,7,7,8
"YDR299W",35,32,26,9,6,2,28,34,24,25,39,28
"YDL015C",32,35,31,10,11,5,31,30,27,30,35,35
"YDR304C",38,34,32.5,10,11,6,25,32,30,28.5,38,27
"YDR271C",1.5,0,0.5,0,1,1.5,0,0.5,0.5,0,1.17,0.17
"YDL181W",6,4,10,3,2,1,13,8,4,13,1,11
"YDR367W",10,9,12,1,1,1,8,9,8,11,9,11.5
"YDR085C",25,26,26,29,20,17.5,12,20,19,11,12,15
"YDL097C",54,34,38,14,17,10,46,51,27,42,49,48
"YDL139C",1,4,1,11,5,6,3,6,1,1,0,1
"YDR200C",11.41,9.42,9.45,9.68,10.58,7.17,10.67,6.5,9.57,10.1,8.5,13.61
"YDR191W",2,3,1,1,3,1,4,4,0,3,1,3
"YDR451C",2,0,4,1,0,1,2,8,3,5,5,13
"YDR469W",7,5,2,1,2,3,5,8,3,5,11,6
"YDR470C",11,12,15,1,2,4,8,13,7,13,8,3
"YDR105C",5,10,13,2,0,3,12,9,6,4,15,11
"YDR483W",61,67,48,35,12,12,56,77,54,58,77.5,64.5
"YDL123W",2,1,1,1,3,5,0,4,1,3,2,4
"YDL199C",3,3,3,4,7,5,5,6,6,2,7,6
"YDR505C",19,35,29,42,24,30,38,36.5,26,38.75,40,33
"YDL045W-A",3,5,5,0,1,3,3,6,3,4,5,5
"YDL045C",3,14,5,4,3,7,6,8,5,4,8,4
"YDR361C",16,17.17,17,2,2,5,13.06,14,15,18,21,19
"YDR406W-A",0.5,1,1.5,1,1.5,0.5,2,1,2,1,0,2.5
"YDR199W",3,1,3,1.5,1,0,0.5,1.5,0.5,5.5,2.5,1.5
"YDR266C",26,31,37,19,15,4,27,39,20.5,40,26,23.12
"YDL242W",2,0,1,1,1,0,0,0,0,0,0,0
"YDR002W",48,51,48,14,10,8,43,52,46,51,60,75
"YDR214W",100,75,91,57,59,56,63,81,75,67,74,71
"YDR130C",3,5,1,2,2,1,3,3,2,2,4,4
"YDL176W",4,8,4,6,2,3,6,5,3,2,8,3
"YDR358W",8,2,6,17,8,9,6,6,3,3,7,5
"YDR544C",0,0,0.12,0.12,1,0,0,0,0,0,0.61,0
"YDR460W",7,5,6,6,4,4,1,5,6,8,8.6,11.55
"snR84",87,119,112,149,96,142,111,127.75,97,118,136,123
"YDR034W-B",1,1,1,15,10,17,0,0,0,0,0,1
"YDL028C",8,13,12,16,16,12,10,19,11.5,14,16,15
"YDR061W",12,13,13,6,3,5,12,17,17,11,6,8
"YDR060W",88,91,75,9,6,7,71,108,74.5,103,126,113
"YDR169C-A",1,0,0,0,0,0,0,0,0,0,0,0
"YDR363W",10,10,10,6,8,4,6,10,4,11,6,8
"YDR422C",18,18,23,11,5,4,20,22,14,10,29,22
"YDR119W",42,30,37,4,5,2,42,40,37,47,40,40
"tR(ACG)D",1.46,0.4,0.4,0.4,0.4,0.12,0.9,0.4,0,1,1.6,0.6
"YDR097C",14.11,15,14,9.25,4,9,17,35,32,25,26,40
"YDR042C",1,3,2,4,1,0,3,1,2,0,0,2
"YDL160C",21,22,32,10,5,10,39,29,30,26,40,41
"YDR425W",5,7.5,6.5,11,4.5,9.5,2.5,7,6.5,4,3.5,8
"snR13",152,183,195,235,148,202,151.75,195.75,97,168.75,154,141.75
"YDR228C",8,6,15,4,2,3,10,21,6,12,26,15
"YDR319C",6,6,2,1,3,0,7,2,4,6,3,5
"YDR471W",66.5,49,73,4.5,6,8,78.5,94,63.5,86,114.5,84.5
"YDR089W",12,7,6,8,7,5,10,14,21,8,12,12
"tD(GUC)D",0.31,0.75,0.31,0.5,0.25,0,0.12,0.77,0.25,0.22,1.47,0
"YDR275W",3,7,7,0,2,3,9,2,2,5,12,4
"YDR043C",15,8,10,20,13,15,4,8,8,13,10,4
"YDR129C",49,59.5,61,61,58,47,50,73,63,57,60,60
"YDR136C",0,0,0,0,0,0,0,0,0,0,0,1
"YDL066W",87,89,69,37,29,33,65,57,46,50,68,71
"YDR302W",6,4,7,2,1,2,8,7,1,2,9,6
"YDR239C",11,14,11,6,7,10,10,18,9,6,18,14
"YDR539W",16,12,15,4,6,6,23,13,6,13,14,12
"tK(CUU)D1",0,0,0,0,0,0,0,0,0,0,0,0
"YDL125C",19,19,13,12,10,8,14,13,19,18,21,18
"YDR493W",2,4,11,4,1,1,4,7,3,4,9,3
"YDR101C",52,58,46,7,5,2,50,82,49,62,72,98
"YDR182W-A",1,0,1,1,0,0,3,1,2,2,0,0
"YDR212W",47,36,38,12,12,5,56,58,51,42,52,50
"YDR476C",3,4,5,6,3,4,7,2,9,6,5,8
"YDL131W",36.5,44,46.25,9.5,9.5,11.5,31.25,39.5,30,36.5,29,40.5
"YDR458C",23,19,12,13,11,3,23,10,14,30,18,12
"YDR081C",12,12,22,4,9,7,12,19,7,17,27,27
"YDL071C",0,2.5,1,0,0,0,0,0,0,0,1,0
"YDR113C",2,1,1.17,2,0,1,4.5,3,6,8,9,4
"YDR168W",34,39,36,9,12.06,4,22,34,24,22,25,30.06
"YDR520C",8.5,5,5,8,2,3,3.5,12,11,6,5,1.5
"YDR307W",11,8,9,7,2,2,11,12,12,8,12,13
"YDR265W",4,2,2,2,0,2,1,4,6,5,4,5
"YDL076C",6,3,3,9,6,2,4,15,6,4,6,12
"YDL006W",6,9,6,4,3,1,7,9,5,2,7,16
"YDL086W",17,18,18.5,7,3,4.5,15,21.5,15.5,13.5,11,19.5
"YDR238C",87,71.94,78.85,18,15.1,12,93,112,87,77.75,100,98
"YDR077W",941.25,1001.75,1049.75,1182.5,856.25,835,708,845.75,706.75,617.67,768.75,709.42
"YDR381C-A",3,5,3,3,3,1,2,5,1,6,6,5
"YDL023C",3,2.5,6,5.5,5,2.5,3,3.5,4.5,2,3.5,3
"YDL083C",100,94,96,4.5,6.5,3.5,111.5,136,98,113,169.5,115.5
"YDR036C",13,8,13,6,6,2,11.5,15,10,9,12,12
"YDR057W",13,8,14.06,11,7,4,7,14,6,12,12,8
"YDR513W",9,15,16.5,19,20,22,17,16,11,13,15,16
"YDR487C",25,29,15,13,11,15,15,35,26,18,38,19
"YDR066C",3,3,3,1,2,2,2,0,2,4,2,4
"YDR352W",8,10,7,6,1,2,9,12,7,11,12,20
"YDR278C",26.21,29.75,23.38,18.5,17.84,9.58,20.46,18.67,13.04,20.67,21.42,33.25
"YDR079C-A",1,1,0,1,0,0,0,0,1,4,2,0
"YDR204W",11,5,3,11.5,7,5,8,10,6,6,5,5
"YDL247W-A",0,0.5,0,0.5,0.5,0.5,0.5,0,0,0,1.5,0
"YDL024C",4,5.62,4.5,29.5,21,15,2.5,4.67,0.25,2,1.88,4
"tA(AGC)D",0,0,0,0,0,0,0,0,0,0,0,0
"YDR109C",8,9,9,10.83,2,2,5,9,9,10,5,7
"YDR466W",16.5,10.5,10.5,10,10,8,16.25,13,23,26.5,31,29
"YDR427W",39,22,31,4,5,7,25,33,13,18,29,27
"YDL044C",4,7,9,3,0,3,5,3,10,7,5,6
"YDL079C",6,5,3,10,8,7,2,1,4,8,8,2
"YDR193W",0.5,1,0,1.5,1,1,0.5,2,0,0,0.5,1
"YDR305C",4,6,2,0,1,0,9,2,2,8,6,3
"YDR377W",8.39,13.74,11.25,8.25,4.5,6,12.25,12.17,7.17,7.25,11.08,14.05
"YDR219C",11,8,7,10,7,5,8,6,8,8,11,7
"YDR416W",20,9,14,7,4,3.25,5,16,10,12,10,10
"YDR365C",36.06,29,45,8,4,6,44,41.08,44.25,36,62,71
"YDL233W",7,5,10,10,9,5,5,5,4,7,7,9
"YDR287W",5,5,7,9,5,7,8,7,4,7,9,3
"YDR448W",8,0,3,6,4,9,11,6,4,6,4,7
"YDR180W",26,18,17,9,6,7,14,20,21,23,22,31.25
"tF(GAA)D",0,0,1,0,1,0,0,1,0,1,1,0
"tT(AGU)D",0,0,0,0,0,0,0,0,0,0,0,0
"YDR294C",30,27,41,48,26,25.67,26,42,19,31,46.5,25.08
"YDR198C",8,4,7,3,0,2.5,9,5,8,7,10,16
"YDL163W",0,0.5,1,0,0.5,0,1,0.5,2,0,0,1
"YDL119C",1,7.5,7.5,5,2.5,6,5,5.5,3.5,3,5.5,0.5
"YDR501W",4,5,3.25,0,0,1.25,4,10,3,7,6,4
"YDL214C",3,2,3,14,11,6,5,3,4,2,2,0
"YDR264C",35,20.88,25,8,8,9,38,53,30.5,44,43,50
"YDR343C",61.08,74.67,104.5,408.12,290.5,326.75,45.17,57.5,47.92,59.42,54.08,56
"YDR373W",12,16,10,2,10,6,9,16,11,11,4,9
"YDR354W",14,10.5,9,1.33,3,1,12,12.5,9.83,11,14.83,12
"YDR246W",7,6,6,1,3,1,5,7,3,5,4,11.75
"YDR428C",8,9,14,1,0,1,8,8,10,5,7,12
"YDR157W",2,4,1,1,1,0.5,6.5,3.5,3,9,4,7
"YDR316W",5,14,21,7,10,6,7,14,8,9,17,11
"YDL142C",0,2,2,3,2,0,2,2,3,6,3,5
"YDR253C",1,2,5,3,1,2,6,3,3,3,2,2
"YDL112W",39,38,47,6,5,8,56,59,45,60,55,56
"YDR545W",4.03,4.19,3.65,1.62,1.76,1.99,3.61,6.75,4.07,4.94,6.31,5.36
"YDL187C",0.5,0,0,0,0,0,0,0,0,1,1.5,0
"YDL138W",9,11,10,8,3,7,6,8,6,13,11,13
"YDR528W",8,6,5,2,1,4,5,6,4,4,5,6
"YDR284C",12,14,15,16,7,10,7,12,10,13,11,7
"YDR050C",207,227.5,236,130,69,92,236.5,271,242,336,368,351
"YDL010W",1.5,3,3.5,0.5,1,1,4,7,3.5,6,1.5,5.5
"YDL065C",10,13,9,15,6,8,13,7,8,5,7,7
"YDR349C",36,39,35,20,16,17,32,32,27,26,30,42
"YDL098C",6,2,2,2,0,0.05,2,5,2,3,1,1
"YDL234C",39,31,48,300,250,228,24,33.5,27,20,19,31
"YDR118W",2,8,6,0,2,3,8,3,4.5,4,5.5,3
"YDR118W-A",0,0,0,1,0,0,0,0,0.5,0,0.5,0
"YDR159W",15.5,27,33,18,4,9,17,30,28,30,34,27
"YDR111C",4.5,1,4.5,3.5,4,4,8.5,3.5,1,6,7.5,3.27
"YDR128W",28,37,35,30,20,25,25.07,31.5,31.07,33,29,31
"YDL034W",1.5,1,1.5,4.5,1.5,4,2.5,1.5,0.5,0.5,2,1.5
"YDR065W",6,2,7,3.17,1,4,4,6,3,2,7,4
"YDL004W",12,14,17,12,13,9,10,8,20,13,15,13
"YDR024W",1,2,2.5,0,0,0,2,4,0,1,1,1
"YDL171C",272,289.5,294.5,90,89,57,206,239.5,206,174,219,192
"YDR083W",23,20,22,1,4,1,16,23,19,13,36,25
"YDR457W",139,128,121,47,43,26.5,135,163.5,124,130.67,176.5,158.25
"YDR014W",3,6.12,7.18,5,4,0,2,5,4,6.06,4.75,3.5
"YDR206W",24,15,26,9,8,7,27,31,14,25,32,26
"YDR478W",8,4,4,3,3,2,3,4,5,2,5,5
"YDR169C",12,13.42,11.39,10.5,8.75,5.5,16.17,19,17.07,13.5,14,16.12
"YDR115W",7,7,6,1,1,2,4,4,2,5,11,4
"YDL159W-A",0,0,0,1,0,0,0,0,0,1,0,0
"YDL232W",1,1,4,2,0,0,2,2,0,1,3,1
"YDL240C-A",1,0,0,0,0,1,0,0,0,0,0,0
"tE(CUC)D",26.21,29.75,23.38,18.5,16.84,9.58,20.46,18.67,13.04,20.67,21.42,33.25
"YDL152W",2,0.83,3,0.5,0.5,0,2.5,2,2,1.5,2.5,3
"YDR432W",27.5,41,38.5,25,16.5,14,61,63.5,44,66,71.5,71
"YDL022C-A",0,0,1.5,0.5,0,1,0,0,0,0,0,1
"YDL114W-A",1,0.5,0,0,1,0,0,0,0.5,0,0.5,0.5
"YDR410C",6.17,4,6,0,1,0,2,6,3,10,11,7
"YDR464C-A",0,2,0,1.5,0.5,0,2,0.5,1,0.5,1.5,1.5
"YDL072C",15,18,18,26,12,11,13,23,14,24,18,13
"YDR053W",3,1.5,2,1,0.5,0,3,1,1.5,1.5,3,3.5
"YDL012C",0,3,1,3,1,1,3,3,8,3,4,5
"YDR482C",3.08,1,1,0,1,0,2,3,2.08,4.25,4,5
"YDL070W",9.25,18.5,17,7,5,2,31,44,30,30,39,28.5
"YDR064W",189,222,184,17,7,10,206,230,189,254.5,235.5,301
"YDL135C",10,14,13,2,1,2,14.75,24,15,20,22,27
"YDL077C",15,14,20,10,8,13,21,25,16,15,19,24.5
"YDR354C-A",1,0.5,1,0,0,0,1,0.5,0.5,0.5,1.5,1
"YDL033C",10,4.5,5.5,2.5,1,1.5,4,4,8,8,9.5,6
"YDL031W",53.25,58,51,9,8,6,45,68,51,48,63,61
"YDR398W",38,47,34,4,2,5.11,35,50,28,44,51,66
"YDR326C",38,60,58,44,33,35,61,75,53,45,85,74
"YDL052C",12,12,16,11,3,4,20,12,12,21,27,17
"YDR536W",0,2,2,6,3,2,1,4,2,1,1,1
"YDR397C",4.5,4,4.5,1.5,0.5,1.33,2,2,2.5,3.5,5.5,3
"YDL116W",15,22,16.25,6,6,6,24,37,22,16,32,25
"YDR028C",65,58,55,101,64,72.5,55,72,60,68,63,67
"YDL007W",22,42,33,18,8,8,44,40,34,36,47,33
"YDR236C",4,3,7,4,1,0,4,6,3,6,5,6
"YDR011W",88.75,63,84,36,31,22,95,117,76,91.5,107,80
"YDR155C",134.5,121.5,140.5,35,23.5,27.5,127,142,118,139,168,158
"YDR414C",4,1,8,1,1,0,5,9,3,3,11,5.04
"YDR026C",13.25,22,16.12,6,3,9,19,19,9,12,24,19
"YDL073W",18,25,13,9,9,3,19,20,24,24,27,19
"tY(GUA)D",0.38,1.64,0.96,1.46,1.29,2.12,0.38,0.25,0.88,1.58,0.75,0.96
"YDL115C",4,9.5,14,4,3,3,10,7,9.5,7,5.5,5.5
"YDL145C",131,118,122,34,26,16,117.1,140.08,103.12,142.1,176,132.5
"YDR203W",0,1.5,0.5,1.5,1.5,3,0.5,1.5,0.5,0,1,0.5
"YDL104C",2,7,8,2,0,0,4,4,3.5,2,3,4
"YDL149W",4,10,8,13,2,6,9,8,10,5,4,6
"YDR231C",1,1.5,4.5,2,2,1.5,3,2.5,1.5,3,3.5,4
"YDR045C",4,6,4,0,0,2,6,4,6,6,6,6
"YDL075W",160,160.5,177.17,12,16,10,187.75,173,164,184,188.75,205.5
"YDR415C",6,13,10,2,3,1,9,10,7,3,7,6
"YDR339C",11,10,11,4,0,1,12,17,13,12,15,15
"YDL213C",16,12,16,3,4,1,17,18,13,10,20,19
"YDR096W",16,26,14,11.25,6,10,17,19,10,8.06,11,22
"YDL019C",28,38,23.67,29,15,26,41,48,33,37,49,54
"YDL022W",33,35.5,43,45.5,34,40.5,45,33.5,31.5,19,23.5,31
"YDR413C",7,4.5,6,0.5,2,1,10,9.5,5.5,8,7,8
"YDR391C",9,8,5,16,13,13,7,10,6,4,2,8
"YDR091C",50.17,54,48,3,9,0,49,58.25,44,58,84,59
"YDR240C",5,3,9.5,3,4,2,9,7,6,4,6,6
"YDL244W",0.58,2.08,1.08,2.58,4.33,1.75,0.25,0,0,0.33,0,1.25
"YDR179C",0,1,4,0,0,0,3,1,0,4,3,2
"YDL165W",7,5,2,3,1,0,4,12,7,5,14,9
"YDL140C",204.5,223,220,60,41.5,52,205.75,232,198,191,255.33,239
"YDR120C",22,15,30,5,3,5,40,27,22,36,47,43
"YDR003W",2,2,5,5,1,3,4,5,7,4,0,5
"YDR499W",12,5,5,5,2,0,3,11,8,3,7,10
"YDR166C",11,14,16,9,5.08,5,21,29,20,11,22,25
"YDL092W",8,15,13.5,2,0,1,4,7,5,7,7,12
"YDL041W",2.5,2.5,1,1,0,0.5,2.5,1.5,1,0.5,2,1.5
"YDL241W",5,5,4,0,2,0,3,3,5,1,1,1
"YDL082W",91,73,102.5,9,7,5.5,113.5,97,109.5,101.9,120,114
"YDR277C",11,11,16,21,13,10,4,3,4,3.25,2,3
"YDR291W",12.38,16,17,10.25,1.5,2,7,23.5,17,25.17,17.78,24
"YDR475C",14,15,10,23,17,16,9,14,12,7,13,14
"YDR244W",12,4,16,7,4,6,6,4,10,11,14,5.25
"YDR407C",24,23,22,8,7,3,21,30.25,28,32,28.5,24
"YDR382W",142,129,133,17,11,12,134.5,153.5,113,141,157,172
"YDR102C",1,0,1,0,0,0,0,0,0,0.17,0,0
"YDL188C",16,22.5,11.5,12,7.5,6.5,11.5,22,13,17,15.5,19
"YDR405W",7,8,15,6,5,1,5,5,8,6,9,14
"YDR443C",33.5,25.5,30.5,30.25,18.5,12,24,21.5,28.5,20,32.5,19
"YDR059C",2,4,1,2,3,4,5,1,3,3,4,3
"YDR144C",25,20,27,4,1,5,34,41,21,25,35,45
"YDL157C",8,6,6,3,2,3,5,6,5,9,10,11
"YDL058W",43,49,48,23,14,16,50,66,51,55.5,53,52.75
"YDL096C",2,3,3,0.5,1,0.5,4,3.5,3.5,2,4.5,4
"YDL155W",5,6,9,0,3,1,13,9,11,13,15,11
"YDR147W",9,5,5,3,3,1,11,7.08,3,5,9,10
"YDL191W",107.5,104.17,100.5,15,11,7,110.5,143,86.75,134.5,154,130.5
"YDL128W",14,12,17,7,13,3,11,22,14,27,24,22
"YDR310C",36,31,32,9,13.08,14,56,56.33,32,42.5,51.22,56.21
"YDL160C-A",1,2,1,0,0,2,0,1,0,0,1,3
"YDR127W",169.08,155,139,46,34.08,25,133,172,134,134.5,144.5,167.5
"YDR497C",133,105,148.5,168,124,136.5,110,131.5,97,66,84,113.17
"YDL162C",0,0,0,0,0,0,0,0,0,1,0,0
"tS(AGA)D3",0,0,0,0,0,0,0,0,0,0,0,0
"YDR201W",5,2,4,1,1,1,3,3,2,4,5,4
"YDR163W",5,5,2,4,4,4,4,4,3,3,5,6
"YDL146W",7,5.75,7,14,6,13,7,8,5,5,6,8
"YDR363W-A",10,7,9,1,1,1,8,8,8,9,11,9
"YDL221W",4.5,1.5,0.5,0,0.5,1.5,1.5,3.5,1,0.5,2,1.5
"YDL089W",6,6.33,6,4,3,4,14,3,8,7,8,10
"YDR385W",672.08,677,701.5,66,63,50.06,660.5,791,619.5,661.33,863.5,799.83
"YDR331W",12,8,17,2,6,2,8,22,5,15,15,11
"YDR196C",9,8,4,2,5,5,6,7,2,9,5,7
"YDR116C",8,8.5,14,3,1,0,15,7,6.5,8,10,7
"YDR001C",62,69.5,82.75,119,99,91,69,65,57,46,65,74
"YDL230W",7,11,3,7,3,5,6,7,5,3,5,5
"YDR160W",8.06,9,6,12,3.08,14,10,10,14,13,12.12,15
"YDR123C",7,4,7,3,1,0,7,8,6,3,3,14
"YDR322W",16,13,13,6,3,8,13,12,14,9,9,10
"YDR040C",37.83,33.17,29.33,29.67,19.5,21.67,36.67,39.5,35.83,36.83,43.12,44
"YDR025W",134.5,123.5,140,14.5,11,12,156.6,153.5,128,141,203.5,161.5
"YDR046C",16.08,15.25,21,8,6.08,6,25,24,16,17,21,15
"YDL057W",4,3,2,6,4.5,4,1,7,0,0,1,3
"YDL248W",10.37,7.78,8.07,12.69,7.97,7.42,1.66,6.88,5.7,4.18,5.84,7.39
"YDR008C",2.5,0.5,1,3.5,2,0.5,0,1,0.5,1,1,0.5
"YDR029W",8,5,5,5,2,3,8,3,2,5,2,3
"YDR485C",8,15,15,7,8,3,6,17,14,16,13,13
"YDR408C",5,7,11,6,7,4.5,5,8,3,8,11,9
"YDR038C",36.83,33.67,31.33,21.67,13,17.67,36.67,35.5,36.33,36.83,39.12,39
"YDL204W",5,6,5,262.5,172,186,5,6,1,9,11,8
"YDR019C",3,10,13,53,38,32,9,8,7,10,14,22
"YDR477W",20,23,35,7,4,4,21,22,21,29,27,29
"YDR254W",4,1,5,2,2,5,1,1,4,0,7,7.25
"YDR514C",5,10,17,3,0,3,9,17,6,8,8,11
"YDR296W",2,6,7,5,1,1,4,4,5,7,11,7
"YDL216C",5,2,3,5,4,6,1,4,2,4,2,7
"YDL100C",56,47,61,10,9,9,50,53,57,41,53,48
"YDL068W",1,0,0.5,0.5,0,0,1,1,0,0.5,3,0.5
"YDL026W",1,2,0.5,1,1,2,0,2,0,0,1,1
"YDL124W",74,79,86.5,203,138,157,58,53,55,49,71,56.25
"YDL227C",2,0,2,2,1,0,14,13,14,15,17,13.5
"YDL111C",20,18,21,2,2,3,21,16,19,16,19,25
"YDR324C",42.25,52,60,6,1,1,39,53,47,57,65,57
"YDL170W",7,7,12,3,2,1,4,10,7,9,10,12
"YDR317W",1,4,5,3,0.25,3,1,4,1,5,3,4
"YDR436W",8,13,13,29,19,15,8,11,6,4,11,19
"YDR208W",31,29,24,17,13,11,21,38,40,29,47,34
"YDR386W",8,6,6,8,4,4,5,5,5,0.17,6,6
"YDR504C",2,2,3,1,2,1,1,1.5,3,4,1,1
"YDL220C",6.5,6.5,7.5,3,6.5,4.5,12.5,11.5,5,12.5,11.29,8.5
"YDR396W",5.5,8,5.5,1.5,2.5,1.33,3,8,3.5,5.5,9.5,6
"YDR258C",66,74,79.1,259,190.5,183,44,47,39,34,50,49
"YDR176W",12,8,12.06,7,6,4,19,18,12,15,16,17
"YDL099W",6,15,20,9,4,9,11,22,7,18,9,18
"YDR380W",14.09,15.05,18,10,8.28,6,11.06,12,10,17,11.12,12.29
"YDL110C",11,6,9,22,18,18,4,11,8,4,5,6
"YDR148C",18,21,24,38,28,32,19,23,18,19,18,18
"YDL201W",6,13,13,3,5,3,10,22,17.7,18,20,21
"YDL107W",4,6,4,5,3,6,2,7,2,4,6,3
"YDR515W",8,10,8,2.25,2,2,7,8,6,12,9,7
"YDR133C",24,18,16,37,23,26,28,17,17,26,40,37.5
"YDR378C",2,3,5,0,3,1,9,4,3,1,5,3
"YDR473C",10,14,7,6,6,5,6,7,6,7,6,14
"YDR403W",4,4,2,25,20,21,3,3,2,2,3,2
"YDR268W",5,6,6,4,3,5,2,7,6,6,9,6
"YDR409W",12,20.11,17,11.25,11,6,10,15,14,17,16,19
"YDR173C",4,2,7,0,2,2,5,1,3,4,2,3
"YDR187C",3.5,5.5,3.5,0.5,1,1,2,5.5,5,4,4.5,6.5
"YDR389W",26,36,31,25,14,10,21,31.17,32,32,32,28
"YDR417C",40.25,50.28,49.81,3.25,2.53,0.75,39.62,52.25,49.25,44,52.25,61.03
"YDR165W",28,20,20.05,4,3,2,25,30,19,34,30,23
"YDL113C",9,8,7,8,5,13,8,5,6,8,9,7
"YDR426C",1,1.5,1,1,1,0.5,0.5,1,2.5,1,0.5,0
"YDR521W",0.5,0,0,1,0,0,0.5,0,0,0,0,0.5
"YDR086C",18,13,23,0,0,2,21,24,18,19,18,21
"YDL021W",7,7,12,16,6,5,8,6,3,4,2,2
"YDR023W",98,105,101,16,16,11,95.25,92,90,97,121,87
"YDR394W",36,34,29,9,11,5,36.25,35.05,32,26.25,30,36
"YDR320C-A",4,4,5,4,0,2,6,6,4,5,8.5,5
"YDR003W-A",0,1,1,0,0,1,1,2,0,3,1,0
"YDR183W",5,1,4,1,1,1,6,4,6,1,4,3
"YDR245W",21,21,15,11,4,4,27,32,22,33,53,34
"YDR431W",0,0,0,0,0,0,0,0,0,0,0,0
"YDL154W",3,2,5,1,1,4,2,10,3,3,3,2
"YDL184C",51,59.5,70,9.5,3.5,8,44.5,44.5,33.75,63,65.75,63
"YDR153C",14,25,26,4,2,2,26,14,15,16,29,24
"YDR014W-A",0.5,0,1,0,1,3.5,0,0.5,0,0.5,0,1.5
"YDR434W",21,15,24,15,7,11,19,12,13,20,26,18.67
"YDL002C",5,11,5,2,1,2,3,2,1,9,6,11
"YDR225W",11,9.5,12,49.5,38.5,41,54.5,55.5,44.5,57.5,63,46.5
"YDR418W",93.25,107.78,117.81,5.25,4.03,3.25,110.12,121.25,105.25,116,140.75,125.53
"YDR224C",18,28,21,35,14,25,71,89,83.5,86,81,73
"YDR502C",66.5,69.5,60,89.5,70,76.5,60,82.5,49.5,44,49,49.5
"YDR447C",85.5,87.5,68.5,4,2,1.5,62,75,82,81.5,108,106.5
"YDL039C",122.67,105.25,104,10,10,8,132.5,137.67,105,103.5,145.96,157.5
"YDL225W",20,13,17,4,3,1,21,21,20,22,25,20
"YDR259C",4,7,9,7,5,6,3,3,1,1,2,2
"YDR495C",9,10,11,4,5,2,5,9,12,9,10,10
"YDL151C",4,5,4,2.5,0,1,5.5,5.5,4,5,6,5.5
"YDR357C",11,8,10,6,6,10,9,7,6,6,5,11
"YDR370C",10,7.33,7,1,0,2,12,13.25,9,8,10,11.08
"YDR298C",22,20,33,7,10,8,12,19,19,14,19,20
"YDR276C",16,11,19,9,7,9,20,11,14,14,11,13
"YDL185C-A",6,3,5,1.5,0.5,0.5,2.5,3.5,4.5,3.5,5.5,5.5
"YDR545C-A",0.47,0.52,0.21,0.21,0,0.21,0.74,0.5,0.43,0.39,0.33,0.62
