"","cdc28_13_37_2h_rep1_Aligned.sortedByCoord.out.bam","cdc28_13_37_2h_rep2_Aligned.sortedByCoord.out.bam","cdc28_13_37_2h_rep3_Aligned.sortedByCoord.out.bam","cdc28_13_37_8h_rep1_Aligned.sortedByCoord.out.bam","cdc28_13_37_8h_rep2_Aligned.sortedByCoord.out.bam","cdc28_13_37_8h_rep3_Aligned.sortedByCoord.out.bam","WT_37_2h_rep1_Aligned.sortedByCoord.out.bam","WT_37_2h_rep2_Aligned.sortedByCoord.out.bam","WT_37_2h_rep3_Aligned.sortedByCoord.out.bam","WT_37_8h_rep1_Aligned.sortedByCoord.out.bam","WT_37_8h_rep2_Aligned.sortedByCoord.out.bam","WT_37_8h_rep3_Aligned.sortedByCoord.out.bam"
"YKL045W",6,9,11,3,1,4,11,16,7,8,11,8
"YKR060W",9,5,8,1,2,1,15,12,5,9,12,9
"YKL085W",10,13,19,45,24,41,13,25,8,19,13,15
"YKL165C",34,38,30,21,14,14,25,34,36,28,38,34
"YKL003C",9.25,9,3,1,0,0,2,6,9,11,4,10
"YKL072W",8,8,12,7,4,4,10,9.5,10,10,16,10
"YKL177W",0,0,0,0,0,0,0,0,1,0,0.5,1.5
"YKL186C",13,11,14,2,2,2,13,13,12,13,16,9
"snR64",69.5,90,65,73,39,50,57,68.5,45,79,62.5,75
"YKR032W",0,0,0,0,0,0,0,1,0,0,0,0
"YKL132C",1,1,2.5,1.83,1.5,2,0,2,2,1,0.5,1.5
"YKL223W",0,0,1.45,0.33,0.14,0,0.5,1.5,1,0,0,0
"YKL078W",17,8,11,0,0,1,21,21,14,21,31,22
"YKL001C",5,3,4,3,2,2,6,5,9,3,9,11
"YKR040C",0,0.5,1.5,0,0,0,0,0.5,0.75,0,0.5,2.33
"YKL046C",31,23,26,17,15,13,26,36.5,20,26,32,34.92
"YKR017C",1,3,4,3,2,1,1,6,4,4,7,2
"YKL058W",6,3,6,1,1,4,9,5,6,5,6,9
"YKL208W",5,2,6,3,4,3,4,8,0,3,7,5
"YKR005C",3,2,1,3,2,0,1,1,2,1,2,4
"YKR034W",2,5,4,3,2,0.5,0.5,1,2,2,3,3.5
"YKL060C",1343,1239.75,1257.12,608.25,416,447,1187.88,1514,1168,1448,1721.5,1593.5
"YKL030W",3.5,4.5,9,1,3.5,5,9.5,10,8.5,4,8.5,14
"YKL162C-A",1,0,0,0,0,0,0,1,0,0,1,1
"YKR091W",9,8,21,43.75,23,13,11,8,13,14,6,9
"YKL096C-B",0,0,0,0,0,0,0,0,0,0,0,0
"YKL171W",10,9,9.17,7,9,3,12,9,6,4,13,8
"YKL025C",13,18,20,5,8,7,12,19.5,16,10,19,14
"YKL023W",2,4,5,2,4,1,1,4,9,6,4,4
"tR(UCU)K",0,0.1,0,0,0,0,0,0,0,0,0,1
"YKL215C",32,28.25,24,8,7,6.1,25,42,31,25,30,28
"YKL136W",3.5,2,2.5,1.5,0,1.5,4,3,3,2.5,4,1.5
"YKL033W",22.67,15.67,20.67,13,6.67,2,12.33,20,13,15,15.33,13.67
"YKR023W",5,8,5,4,2,3,13,7,7,8,12.5,6
"YKR067W",13,15,13,9,4,6,17,13,9,11,13,11
"YKL098W",7,5,6,5,5,3,4,7,4,8,8,8
"YKL114C",15,10,22,2,0.25,2,11,18,15,12.5,11,10
"YKL145W",26,38,35.5,12,7.5,12,37,40.5,28.75,33.25,52.5,32
"YKL057C",31.75,34,34,4,5,3,31,29,36,28.17,31,41
"YKL106C-A",0,0,0,0,0,0,0,0,0,0,0,0
"YKL128C",9,8,7,2,3,5,15,16,12,14,19,19
"YKL008C",16,16,13,10,8,7,20,26,23,27,20.33,25
"YKL029C",48.5,59.5,65.75,9.25,15.85,13,33.5,68,39,53,82.5,71
"YKR047W",7,2.5,9.5,1,0.5,2.5,7,7.5,6,7,14,10.5
"YKL066W",1,5.5,3,17,6,10,3,6,5,2.5,5.5,5.5
"YKL119C",5,3,2,0,1,1,1,5.5,2,3,3,5
"YEL041W",2,1,4,4,1,2,3,2,0,5,0,4
"YER011W",1,3,1,2,1,1,1,5,1,1.75,2,0
"YER158W-A",3,2,2,2.5,1,4,3,1.5,2.5,3.5,5.5,8
"snR53",1,2,0,0,1,0,0,0,0,1,0,0
"YER056C-A",86,92,104.5,9,8.5,8.5,110,109.22,92.5,100,109.5,112.5
"YEL067C",0,2.5,1,0,1,0,0.5,3.5,0,2,1,2.5
"YEL054C",77.64,83.25,78.25,5.75,4.5,6.75,91.1,99.25,73.17,89.5,114.75,108.42
"YEL047C",28,25,28,19.5,15,21,21,34,36,21.6,38,41
"YER146W",1.5,2.5,1,1,1.5,1,2.5,6,3,8,3.5,4
"YER159C",5,12,7,9.5,7,11,8,9.5,7.5,6.5,13.5,6
"YER084W",0,1,1.25,0,0,0,0,0,0,1,0,0
"YER183C",1,6,4,2,3,1,5,8,2,4,6,5
"YEL009C-A",0,0,0,0,0,0,0,0,0,0,1.5,0
"YEL059C-A",4,1,4,1,1,1,7,2,4,4,2,2
"YER172C",55.12,62,55,19.25,12,12,52,65.86,47,57.1,73,67
"YER092W",7,3,4,6,1,5,4,9,1,3,1,7
"YEL008C-A",0,0.5,0,0,0,0,0,0,0,0,0,0
"YEL032W",23,34.5,30.5,9.5,8,5,33,28.5,21.25,36,32,39.5
"YEL010W",0,0,0,0,0,0,0,0,0,0,0.5,0
"YEL040W",119,117,124,22,26,23,97,116,103,89,98,87
"YEL059W",1,0,0,1,0,0,0,0,0,1,0,0
"YER105C",33.75,50,41,20.1,13.17,15.17,54.17,66.67,42.5,54.5,73.17,66.17
"YEL053C",12,19,22,8,3,6,17,18,13,11,14,11
"YEL046C",54,63,75,19,10,9,83,69,51,73.1,92,73
"YER137C",0,1.5,3.5,0,0,0,0,1,0,1.5,2,2.5
"YER013W",16,10,20,9,12,9,12,8,14,7,9,18
"YER147C-A",8.5,8.5,5.5,5,2,0.5,12,13,12,9,12,15.5
"YEL036C",29.17,32,22,13,3,11,29,34,23,36.5,34,28.2
"YER094C",16,16,19,3,3,6,21,23,22,14,23,21
"YER038C",12,10.5,4,3.5,5.5,2,10.5,12,9,14,11.5,7
"YEL034W",126.92,137.33,124.83,11,5,9,150.33,169,138.58,156.17,194.17,171.25
"YER144C",21,24,31,24,12,16,23,31,28,23,23,13
"YER069W",22,26.5,22.5,72,48,53.67,18,24,12.5,11.5,28.5,22
"YEL066W",5,17.5,14,3,2,1,1.5,12.5,1,6,11,7.5
"YER161C",10,10,13,6,7,2,13,12,10,10,13,9
"YER131W",60,43.5,57.75,4.5,0,1,58.5,102.25,63,116.25,106.25,101
"YER027C",13,13,12,9,5,7,18,21.5,10.5,13,17.5,15
"tH(GUG)E2",5.04,4.98,4.43,6.81,2.97,1.86,2.43,2.57,1.71,2.29,3.57,2.71
"YER088C-A",3.83,1.5,7.5,2.83,2,1.67,3.67,4.5,2,2.83,2.83,1.67
"YER002W",26,16,23,11,3,6,19,20,19,22,35,36
"YEL062W",15,7.5,11,5,3,2,7,10,9,10,4,7
"YEL074W",1,0,0.5,0,0,0,0.38,0.5,1.25,0.5,1,1.5
"YER142C",4.06,4,6,5,2,3,5,6,5,6,5,3
"YER035W",2,7,4,4,1,2,1,2,7,9,5,8
"YER145C",17.06,20,23,5.5,4,1,32,21,26.06,26.05,40,39
"YER176W",30,39,30,9,6,5,28,43,36,38,32,28
"YER071C",5,2,3,0,0,0,1,1,2,2,4,6
"YER150W",7,4,3,49.5,48,42,1,2,1,4,5,1
"YER177W",84,88,115,57.5,27,29,121.5,180,112,141,181,162
"YER123W",15,17,16,4,3,2.17,16,17,14,22,24,19
"YEL018W",3,4,1.5,0.5,1,2,3,3.5,6,4.5,3,5.61
"YER116C",4,8,6,3,6,7,3,3,3,3,3,3
"YER043C",190,194.75,185,19,17,13,167,231.75,166,198,223,226
"YEL004W",7,6,7,1,2,3,4,7,5,3,7,3
"YER141W",26.12,37,29,21.75,25,16,22,23,21,24,27,31
"YER170W",1,2,0,0,0,1,4,1,1,1,2,1
"YER047C",18,6,7.5,22,9.5,8.5,17.5,14.5,12.5,8,15.56,13
"YER132C",54,62,50,22,15,30.5,61,72.74,57,63.24,63,59
"YEL068C",1,2,1,0,1,1,4,1,1,1,4,1
"YER080W",34.6,22.5,36,16.5,9,7.6,38.75,29.75,25.5,25.5,29.5,33.6
"YER052C",47,41,45,16,12.5,16,37,29,27,46,37,52
"YER070W",37,38,42.75,7,10,3,106,112,88,87,95.5,105.1
"YEL007W",30,30,24,28,20,19,23,32,29,21,30,21
"tE(UUC)E2",0.83,2.04,0.92,1.4,0.58,0.5,1.92,0.62,0.33,0.9,0.5,0
"YER068C-A",0.5,3.5,0.5,2,5,5,0,2,0.5,0.5,0.5,1
"YER115C",1,3,4,1,3,3,7,0,0,5,3,4
"tS(AGA)E",2.2,1.9,2.31,1.6,1.4,0.9,1.51,1.62,1.27,1,1.1,0.8
"YER076C",7.5,5,3.5,1,3,1,2,3.5,1,0,3,5
"YEL021W",45.5,47,48,39,28,33,14,17,10,22,15,17
"YEL026W",61,56,61,11,7,8,55,54,51,74,66,73
"YER040W",8,7,9,11,3,11,9,26,13,8,16,19
"YEL016C",7,9,5,1,1,1,6,6,7,5,8,14
"YER012W",26,25,23,9,7,5,12,27,24,28,25,24
"YER190W",4.16,3.71,4.32,2.61,1.21,2.6,4.18,7.53,3.55,6.06,5.76,5.99
"YER185W",4,1,2,0,0,0,2,0,2,0,1,0
"YER189W",0.17,0.3,0,0,0,0,0,0.17,0,0.1,0,0.5
