"region","cdc28_13_37_2h_rep1","cdc28_13_37_2h_rep2","cdc28_13_37_2h_rep3","cdc28_13_37_8h_rep1","cdc28_13_37_8h_rep2","cdc28_13_37_8h_rep3","WT_37_2h_rep1","WT_37_2h_rep2","WT_37_2h_rep3","WT_37_8h_rep1","WT_37_8h_rep2","WT_37_8h_rep3"
"IGS2-1",23654.7894118572,30282.9430089774,25643.8346852585,45984.1985656874,39944.7151189451,44625.2783475446,20247.7916191174,20174.2114985205,16901.8538564687,24919.1852043531,21542.159507834,19720.2649143274
"IGS2-2",23329.3362395808,29837.5089377253,25408.5368079254,45333.774584721,39517.3105619049,44217.1046249543,20025.4168642856,19969.601007579,16774.7300869057,24705.6134530356,21321.279327495,19521.9001893279
