string_suffix,1h_rep1,1h_rep2,1h_rep3,3h_rep1,3h_rep 2,3h_rep3,5h_rep1,5h_rep 2,5h_rep3,7h_rep1,7h_rep2
YBR221C,788.252,771.537,769.489,2371.32,2430.43,2422.05,3430.12,3799.95,3876.96,3927.44,3862.85
YPR160W,791.708,723.588,816.028,2664.79,2886.16,2842.49,6704.12,6725.81,7282.45,9955.3,10142.9
YGL187C,806.496,702.59,826.814,1271.97,1394.33,1357.53,1879.95,1990.56,2213.75,2137.43,2320.2
YPL078C,780.129,762.975,802.997,1992.24,2068.1,2095.68,3117.69,3404.23,3469.59,3696.61,3658.78
YDR232W,798.579,749.076,799.816,2392.76,2461.92,2488.57,3091.52,3419.97,3403.76,3223.08,3156.74
YER125W,792.783,764.976,792.223,2825.34,2996,3007.35,4541.13,4731.8,4993.67,5105.05,5106.75
YPR035W,783.434,760.423,806.622,1829.93,1895.61,1957.52,3099.68,3329.84,3381.08,4205,4112.1
YBL027W,761.892,775.768,814.644,3914.3,3839.08,3935.7,4238.59,4537.21,4553.94,4938.27,4755.93
YLR089C,836.8,682.066,836.037,1766.87,2105.79,1853.4,2999.84,2852.95,3466.56,3190.38,3609.62
YGL097W,809.76,745.945,810.643,2036.13,2117.3,2112.22,2617.01,2809.63,2868.33,2793.65,2855.03
YMR194W,815.024,760.719,794.845,2746.59,2975.47,2985.48,4030.33,4217.89,4263.52,4844.51,4889.52
YOL151W,811.215,778.346,783.688,1395.12,1333.2,1510.3,2824.53,3285.2,3000.03,6029.76,5569.3
YOR145C,785.354,854.394,734.785,2365.2,2174.18,2517.53,3184.67,3795.24,3336.42,3723.25,3150.83
YHR001W,808.919,743.286,822.883,2779.5,2924.08,2955.86,3802.17,3997.64,4063.42,3798.47,3775.09
YHR008C,813.472,757.394,824.057,1398.45,1484.31,1517.05,2654.69,2993.37,2894.41,4331.66,4042.63
YNL216W,818.854,776.952,801.447,1683.08,1770.45,1746.67,1597,1708.47,1809.86,1367.91,1377.99
YKL216W,825.045,740.221,837.644,2304.7,2572.63,2402.34,3641.3,3588.11,4101.17,4331.93,4837.64
YIL075C,826.599,733.97,845.293,4519.53,4799.84,4745.48,7384.88,7741.73,8251.32,8647.57,8714.42
YPR033C,826.754,781.901,808.214,3358.43,3528.9,3566.29,5398.77,5758.23,6088.19,6058.2,6036.14
YBR092C,832.104,749.225,836.775,2224.14,2526.6,2391.47,3393.26,3525.81,3829.12,2817.33,2886.28
YMR246W,845.615,727.909,845.509,4082.51,4534.92,4402.58,7208.72,7582.21,8244.45,8096.92,8423.05
YOR310C,843.467,717.64,860.472,2606.35,2912.28,2831.31,3205.04,3186.04,3614.48,3322.26,3587.78
YNL287W,830.455,768.62,823.422,4651.05,4954.96,4827.66,7291.78,7629.13,8197.03,8214.28,8189.25
YKL009W,798.096,810.537,818.669,2493.46,2538.46,2659.67,2926.82,3191.04,3269.94,3078.26,2904.39
YLL011W,828.158,762.166,838.714,3028.46,3221.21,3030.13,3676.19,3745.31,3963.46,3487.47,3580.77
YJL167W,819.233,719.71,893.568,2863.31,3179.64,3058.63,5789.98,6045.55,6569.71,7019.65,7340.16
YMR072W,837.796,745.513,862.973,2695.12,2847.34,2909.49,3957.02,4164.61,4360.26,4532.26,4565.14
YOR243C,848.327,734.847,865.61,2288.49,2623.88,2419.93,3368.72,3232.17,3783.37,3610.35,3903.72
YDL100C,823.122,751.706,877.466,3814.82,4007.09,4135.54,6803.86,7207.06,7518.33,7910.43,7694.32
YMR099C,829.866,809.241,817.296,3706.58,3738.57,3993.72,6213.49,6980.58,6657.79,7672.19,7158.49
YKL211C,862.56,770.241,823.724,2532.19,2518.18,2636.25,3966.74,4284.14,4395.42,3910.6,3768.97
YLL040C,837.88,779.832,840.878,4896.42,5101.51,5060.02,8195.63,8683.5,8895.18,10228,10302.1
YDL160C,856.679,815.26,787.859,2059.02,2152.49,2098.55,2226.98,2390.32,2398.54,2276.49,2278.91
YDR346C,834.289,817.49,812.301,2142.75,2078.74,2185.06,2849.44,3182.6,2972.41,3548.62,3365.64
YOR241W,854.692,765.055,848.726,2299.83,2532.04,2445.65,3539.59,3722.89,3924.31,4074.85,4126.87
YBR080C,860.093,771.049,840.699,3308.69,3509,3506.93,5216.42,5402.18,5817.85,6191.99,6220.75
YPL063W,855.109,766.879,856.515,2992.87,3137.04,3071.96,3694.96,3753.59,3963.77,3208.48,3169.98
YMR131C,848.421,790.064,842.508,1928.75,2002.05,1951.02,2318.71,2446.2,2522.13,2388.59,2455.64
YJR025C,869.148,777.551,842.865,2087.39,2306.44,2218.11,4121.71,4456.4,4751.16,4620.53,4805.78
YDL066W,860,761.023,870.197,2967.87,3310.09,3233.26,5500.8,5621.06,6288.69,6266.21,6576.32
YMR079W,869.553,740.946,882.761,2532.93,2812.95,2694.93,4143.29,4101.6,4635.14,4530.31,4822.09
YPL190C,865.856,797.867,839.455,2014.15,2116.86,2061.54,2517.36,2684.89,2819.21,2744.05,2819.96
YOR098C,861.406,819.624,822.925,2536.97,2703.01,2689.5,3099.68,3458.97,3413.23,3079.86,2987.42
YDR304C,864.966,746.417,894.308,2106.86,2406.69,2281.58,3356.11,3369.71,3905.59,4007.93,4275.3
YDL130W,890.44,705.619,910.185,1235.17,1522.73,1287.86,1868.63,1777.16,2218.04,1582.6,1880.93
YGR233C,868.563,789.48,853.195,4335.61,4601.35,4514.85,6342.06,6681.69,6969.67,7171.54,7184.08
YLR075W,842.771,826.88,841.903,3250.86,3214.21,3347.33,4413.01,4880.66,4850.89,5428.08,5123.67
YBR245C,834.935,821.776,862.732,3564.04,3728.94,3706.02,4625.59,4873.4,5053.72,4932.26,4968.14
YHR047C,856.474,776.789,888.357,4945.45,5275.51,5236.16,8728.08,9011.59,9430.87,9812.08,10026.6
YMR311C,882.009,843.205,801.666,1047.98,1100.81,1054.1,1215.79,1346.99,1375.71,1055.91,1093.85
YCL011C,880.827,764.391,884.325,2214.56,2464.44,2319.58,3020.32,3006.87,3370.13,2794.05,3021.64
YML054C,874.054,826.832,831.391,1896.81,1944.6,1932.22,3645.13,4073.25,3895.52,4899.4,4643.01
YMR105C,874.114,762.05,905.076,2263.91,2510.74,2377.27,4151.29,4077.06,4570.99,4829.06,5269.81
YOL022C,909.027,806.318,826.418,2514.01,2582.4,2578.27,3383.12,3622.9,3769.98,3497.63,3536.06
YGL207W,872.394,812.408,870.012,3770.68,3949.67,3913.27,5447.19,5770.92,5937.72,6069.48,6192.45
YGL011C,894.605,772.505,888.384,2559.3,2871.68,2688.71,4010.72,3900.62,4391.86,3885.86,4140.25
YPR191W,865.647,798.21,902.627,2678.03,2754.28,2917.24,4687.56,5171.44,5320.41,6197.98,6145.76
YDR394W,879.047,805.248,882.248,2533.96,2822.82,2624.3,3856.33,3827.33,4203.16,3739.88,4060.38
YHR128W,896.008,748.163,936.541,2375.51,2882.8,2462.78,4334.67,3992.04,4963.1,4429.72,5289.82
YER156C,899.648,843.325,848.439,2211.97,2286.12,2245.22,2611.73,2798.26,2812.92,2516.43,2669.87
YOL057W,901.151,823.835,868.223,3283.73,3636.41,3421,4695.25,4965.15,5391.36,5012.79,5323.01
YKR056W,876.621,867.573,850.286,2458.13,2547.01,2654.49,2998.8,3450.3,3373.13,3571.03,3292.29
YNL231C,881.779,821.452,891.748,3555.95,4021.62,3728.72,5892.49,5925.18,6773.98,6756.53,7264.37
YNL274C,896.504,796.396,903.184,1932.09,2230.64,2067.2,4338.91,4257.81,4861.38,5003.55,5141.22
YER110C,858.384,808.518,932.194,6391.08,6728.49,6947.38,9856.79,10792.3,11134.4,11744.8,11396.8
YKL073W,899.537,811.318,889.908,3422.54,3619.61,3443.17,5126.68,5231.85,5655.11,5636.46,5876.97
YLR447C,894.381,803.931,912.459,2654.01,2801.78,2835.76,4183.83,4403.47,4672.15,4923.49,5041.31
YER178W,903.877,793.029,920.778,2873.58,3197.21,2983.09,4798.42,4768.48,5402.59,5146.55,5573.68
YOL140W,945.262,790.887,886.699,1473.83,1697.43,1570.9,3935.45,4075.77,4454.18,5707.03,6075.38
YNL160W,912.777,832.081,887.269,2564.91,2807.35,2620.05,2764.59,3011.49,3119.63,2050.5,2134.95
YPR019W,908.941,859.858,868.53,2257.03,2409.63,2388.1,3073.61,3201.57,3279.86,3375.82,3367.67
YFR033C,880.227,854.772,909.555,1138.64,1259.72,1199.01,1122.62,1117.74,1235.51,1085.43,1142.09
YMR092C,897.472,841.089,907.867,3073.67,3165.94,3330.45,5463.39,6040.85,6190.19,6879.62,6653.5
