string_external_id	abundance
4932.YLR110C	847
4932.YDR002W	845
4932.YDR381W	843
4932.YJL026W	842
4932.YBL099W	838
4932.YHR179W	836
4932.YOR020C	828
4932.YLL018C	822
4932.YGR086C	806
4932.YFL045C	800
4932.YDL014W	796
4932.YGL026C	791
4932.YNR050C	786
4932.YOR198C	784
4932.YFR032C-A	782
4932.YNL079C	781
4932.YMR226C	780
4932.YBR106W	779
4932.YLR134W	775
4932.YPL028W	771
4932.YMR230W	769
4932.YML126C	769
4932.YCL050C	767
4932.YPL004C	761
4932.YJR109C	760
4932.YBL076C	755
4932.YOR335C	754
4932.YCL030C	739
4932.YLR197W	727
4932.YGL202W	723
4932.YDR233C	720
4932.YFR053C	718
4932.YCL043C	715
4932.YHR141C	715
4932.YDR432W	697
4932.YLR432W	688
4932.YML008C	676
4932.YGR185C	675
4932.YPR069C	674
4932.YJR048W	673
4932.YGR094W	668
4932.YDR454C	662
4932.YHR019C	661
4932.YIL078W	652
4932.YFL037W	651
4932.YMR217W	646
4932.YDR032C	642
4932.YDL084W	640
4932.YGR159C	639
4932.YDR033W	632
4932.YLL026W	631
4932.YLR293C	631
4932.YGR204W	625
4932.YMR083W	625
4932.YER110C	624
4932.YHR020W	621
4932.YLR027C	620
4932.YNR016C	613
4932.YDL066W	605
4932.YHL034C	602
4932.YEL071W	601
4932.YBR109C	600
4932.YKL035W	598
4932.YJR077C	596
4932.YGL234W	593
4932.YOL139C	593
4932.YJL080C	591
4932.YOR007C	588
4932.YMR307W	586
4932.YGR282C	579
4932.YMR072W	579
4932.YGR087C	579
4932.YAL044C	576
4932.YER178W	574
4932.YKL210W	569
4932.YDR225W	567
4932.YIL041W	562
4932.YLR179C	559
4932.YLR060W	556
4932.YJL167W	555
4932.YJL130C	552
4932.YMR108W	550
4932.YGR264C	550
4932.YOR230W	548
4932.YER023W	545
4932.YDL182W	542
4932.YOR310C	538
4932.YNL007C	531
4932.YPR041W	531
4932.YMR079W	529
4932.YOR185C	526
4932.YDL137W	526
4932.YOR184W	526
4932.YCL040W	524
4932.YJR070C	524
4932.YOR204W	523
4932.YBR143C	517
4932.YKL085W	510
4932.YNL162W	510
4932.YPL048W	509
4932.YER057C	506
4932.YBR079C	498
4932.YPR163C	498
4932.YDL124W	497
4932.YKL067W	497
4932.YOR136W	496
4932.YGL148W	488
4932.YDL022W	488
4932.YPL154C	487
4932.YNL112W	487
4932.YDR298C	486
4932.YNL010W	479
4932.YBR078W	476
4932.YHR027C	473
4932.YDR071C	472
4932.YER036C	471
4932.YNL220W	471
4932.YOR374W	471
