Position_n,basename
Position_9,251016_3537_selection_ED_001.tif
Position_10,251016_3537_selection_ED_002.tif
Position_11,251016_3537_selection_ED_003.tif
Position_12,251016_3537_selection_ED_004.tif
Position_13,251016_3537_selection_ED_005.tif
Position_14,251016_3537_selection_ED_006.tif
Position_15,251016_3537_selection_ED_007.tif
Position_16,251016_3537_selection_ED_008.tif
Position_17,251016_3537_selection_EtOH_001.tif
Position_18,251016_3537_selection_EtOH_002.tif
Position_19,251016_3537_selection_EtOH_003.tif
Position_20,251016_3537_selection_EtOH_004.tif
Position_21,251016_3537_selection_EtOH_005.tif
Position_22,251016_3537_selection_EtOH_006.tif
Position_23,251016_3537_selection_EtOH_007.tif
Position_24,251016_3537_selection_EtOH_008.tif
Position_25,251016_3537_SC_ED_001.tif
Position_26,251016_3537_SC_ED_002.tif
Position_27,251016_3537_SC_ED_003.tif
Position_28,251016_3537_SC_ED_004.tif
Position_29,251016_3537_SC_ED_005.tif
Position_30,251016_3537_SC_ED_006.tif
Position_31,251016_3537_SC_ED_007.tif
Position_32,251016_3537_SC_ED_008.tif
Position_33,251016_3537_SC_EtOH_001.tif
Position_34,251016_3537_SC_EtOH_002.tif
Position_35,251016_3537_SC_EtOH_003.tif
Position_36,251016_3537_SC_EtOH_004.tif
Position_37,251016_3537_SC_EtOH_005.tif
Position_38,251016_3537_SC_EtOH_006.tif
Position_39,251016_3537_SC_EtOH_007.tif
Position_40,251016_3537_SC_EtOH_008.tif
Position_41,251016_3548_selection_ED_001.tif
Position_42,251016_3548_selection_ED_002.tif
Position_43,251016_3548_selection_ED_003.tif
Position_44,251016_3548_selection_ED_004.tif
Position_45,251016_3548_selection_ED_005.tif
Position_46,251016_3548_selection_ED_006.tif
Position_47,251016_3548_selection_ED_007.tif
Position_48,251016_3548_selection_ED_008.tif
Position_49,251016_3548_selection_EtOH_001.tif
Position_50,251016_3548_selection_EtOH_002.tif
Position_51,251016_3548_selection_EtOH_003.tif
Position_52,251016_3548_selection_EtOH_004.tif
Position_53,251016_3548_selection_EtOH_005.tif
Position_54,251016_3548_selection_EtOH_006.tif
Position_55,251016_3548_selection_EtOH_007.tif
Position_56,251016_3548_selection_EtOH_008.tif
