Position_n,Cell_ID,cell_area_pxl,cell_vol_vox,cell_area_um2,cell_vol_fl,solidity
Position_9,4,2633,98630.48438,11.124425,27.08639717,0.981730052
Position_9,8,3396,141615.3438,14.3481,38.89111328,0.981786644
Position_9,15,1568,44779.82813,6.6248,12.29765987,0.97694704
Position_9,24,1630,48143.36328,6.88675,13.2213707,0.971394517
Position_9,26,2422,89013.375,10.23295,24.44529724,0.975040258
Position_9,27,2246,78174.55469,9.48935,21.46868706,0.971453287
Position_9,29,2324,79489.63281,9.8189,21.82983971,0.97319933
Position_9,38,2214,76476.89844,9.35415,21.00246811,0.980079681
Position_9,55,1831,55858.63281,7.735975,15.34017658,0.979144385
Position_9,67,2417,86925.90625,10.211825,23.87202644,0.970293055
Position_9,75,2604,97545.8125,11.0019,26.78851891,0.980052691
Position_9,92,1827,56882.99609,7.719075,15.62149239,0.980150215
Position_9,93,1061,24958.95703,4.482725,6.854353428,0.976979742
Position_9,98,3170,123021.5625,13.39325,33.78479767,0.982336535
Position_9,103,2001,64012.77344,8.454225,17.57950783,0.975146199
Position_9,108,1591,47447.03516,6.721975,13.03014183,0.97607362
Position_9,118,3441,141060.8438,14.538225,38.73883438,0.977279182
Position_9,129,1591,47315.95703,6.721975,12.99414444,0.971899817
Position_9,137,2134,72194.36719,9.01615,19.82637787,0.978450252
Position_9,145,1716,50965.16797,7.2501,13.99630928,0.975
Position_9,156,2116,70461.03906,8.9401,19.35036278,0.976915974
Position_9,166,1560,45550.66797,6.591,12.50935173,0.975
Position_9,193,2286,77862.51563,9.65835,21.3829937,0.979854265
Position_9,197,3023,115447.125,12.772175,31.70466614,0.977368251
Position_9,198,1336,32358.41016,5.6446,8.886427879,0.977322604
Position_9,203,1939,62635.08203,8.192275,17.20115852,0.976826196
Position_9,207,1247,32186.60547,5.268575,8.83924675,0.971940764
Position_9,208,1021,23467.7793,4.313725,6.444839001,0.972380952
Position_9,210,2019,62392.80469,8.530275,17.13462448,0.966491144
Position_9,211,2658,98025.82813,11.23005,26.9203434,0.974340176
Position_9,213,2354,82882.77344,9.94565,22.7616806,0.97716895
Position_9,215,2298,81054.32813,9.70905,22.25954437,0.967578947
Position_9,220,2008,67355.50781,8.4838,18.49750519,0.976653696
Position_9,229,2290,79378.54688,9.67525,21.79933357,0.979469632
Position_9,231,3974,172190.75,16.79015,47.28788376,0.968087698
