,A3225_EST_1_Aligned.sortedByCoord.out.bam,A3225_EST_2_Aligned.sortedByCoord.out.bam,A3225_EST_3_Aligned.sortedByCoord.out.bam,A3225_EtOH_1_Aligned.sortedByCoord.out.bam,A3225_EtOH_2_Aligned.sortedByCoord.out.bam,A3225_EtOH_3_Aligned.sortedByCoord.out.bam,A3229_EST_1_Aligned.sortedByCoord.out.bam,A3229_EST_2_Aligned.sortedByCoord.out.bam,A3229_EST_3_Aligned.sortedByCoord.out.bam,A3229_EtOH_1_Aligned.sortedByCoord.out.bam,A3229_EtOH_2_Aligned.sortedByCoord.out.bam,A3229_EtOH_3_Aligned.sortedByCoord.out.bam,A3506_EST_1_Aligned.sortedByCoord.out.bam,A3506_EST_2_Aligned.sortedByCoord.out.bam,A3506_EST_3_Aligned.sortedByCoord.out.bam,A3506_EtOH_1_Aligned.sortedByCoord.out.bam,A3506_EtOH_2_Aligned.sortedByCoord.out.bam,A3506_EtOH_3_Aligned.sortedByCoord.out.bam,B1684_EST_1_Aligned.sortedByCoord.out.bam,B1684_EST_2_Aligned.sortedByCoord.out.bam,B1684_EST_3_Aligned.sortedByCoord.out.bam,B1684_EtOH_1_Aligned.sortedByCoord.out.bam,B1684_EtOH_2_Aligned.sortedByCoord.out.bam,B1684_EtOH_3_Aligned.sortedByCoord.out.bam,B3225_EST_1_Aligned.sortedByCoord.out.bam,B3225_EST_2_Aligned.sortedByCoord.out.bam,B3225_EST_3_Aligned.sortedByCoord.out.bam,B3225_EtOH_1_Aligned.sortedByCoord.out.bam,B3225_EtOH_2_Aligned.sortedByCoord.out.bam,B3225_EtOH_3_Aligned.sortedByCoord.out.bam,C3225_EST_1_Aligned.sortedByCoord.out.bam,C3225_EST_2_Aligned.sortedByCoord.out.bam,C3225_EST_3_Aligned.sortedByCoord.out.bam,C3225_EtOH_1_Aligned.sortedByCoord.out.bam,C3225_EtOH_2_Aligned.sortedByCoord.out.bam,C3225_EtOH_3_Aligned.sortedByCoord.out.bam,C3229_EST_1_Aligned.sortedByCoord.out.bam,C3229_EST_2_Aligned.sortedByCoord.out.bam,C3229_EST_3_Aligned.sortedByCoord.out.bam,C3229_EtOH_1_Aligned.sortedByCoord.out.bam,C3229_EtOH_2_Aligned.sortedByCoord.out.bam,C3229_EtOH_3_Aligned.sortedByCoord.out.bam,C448_EST_1_Aligned.sortedByCoord.out.bam,C448_EST_2_Aligned.sortedByCoord.out.bam,C448_EST_3_Aligned.sortedByCoord.out.bam,C448_EtOH_1_Aligned.sortedByCoord.out.bam,C448_EtOH_2_Aligned.sortedByCoord.out.bam,C448_EtOH_3_Aligned.sortedByCoord.out.bam,D37_2h_EtOH_1_Aligned.sortedByCoord.out.bam,D37_2h_EtOH_2_Aligned.sortedByCoord.out.bam,D37_2h_EtOH_3_Aligned.sortedByCoord.out.bam,D37_4h_EST_1_Aligned.sortedByCoord.out.bam,D37_4h_EST_2_Aligned.sortedByCoord.out.bam,D37_4h_EST_3_Aligned.sortedByCoord.out.bam,D37_4h_EtOH_1_Aligned.sortedByCoord.out.bam,D37_4h_EtOH_2_Aligned.sortedByCoord.out.bam,D37_4h_EtOH_3_Aligned.sortedByCoord.out.bam,D37_6h_EST_1_Aligned.sortedByCoord.out.bam,D37_6h_EST_2_Aligned.sortedByCoord.out.bam,D37_6h_EST_3_Aligned.sortedByCoord.out.bam,D37_6h_EtOH_1_Aligned.sortedByCoord.out.bam,D37_6h_EtOH_2_Aligned.sortedByCoord.out.bam,D37_6h_EtOH_3_Aligned.sortedByCoord.out.bam
mScarlet,1189158.78,1129035.42,1186615.24,195963.61,233199.21,208236.23,50.92,86.83,90.0,17.92,9.0,5.42,2589356.69,2450372.11,2240705.52,223336.41,239824.65,220032.13,2616.0,3051.17,2959.33,2842.92,3891.5,4030.17,2151701.53,2236222.23,2388881.19,274433.45,263878.91,260101.87,1347349.74,1344641.89,1774603.88,163775.64,151709.63,130272.18,3.5,4.5,3.33,6.08,4.5,36.25,2416761.88,2177223.87,2384984.18,170595.04,170728.16,168258.96,167765.39,165817.76,175721.07,374231.74,19629.95,394910.88,263379.82,253236.81,200692.15,481393.1,443071.18,536914.06,367725.42,304090.66,265176.43
mCherry1,1181978.61,1150743.95,1224007.05,194831.0,227721.43,204831.45,54.54,88.25,97.33,8.17,16.67,10.42,2572157.45,2366676.0,2194358.49,219769.42,236302.81,227720.87,66.58,104.91,89.58,33.08,9.4,19.08,2173123.66,2188466.94,2209304.49,271208.43,292270.46,267419.25,1636491.83,1767651.56,2176916.09,203764.63,196604.98,170286.85,5.42,5.92,3.5,6.5,2.17,37.58,2686861.99,2481611.33,2806954.26,212444.06,215561.97,231512.28,198433.54,191630.36,211279.8,417914.5,288303.35,488136.21,330936.87,328667.27,253628.8,543599.88,545166.12,642990.91,457041.49,383779.85,326373.57
mCherry2,1000884.8,962703.73,1052053.5,161756.87,185407.0,169495.71,51.79,63.75,85.33,7.92,12.67,8.67,2158631.4,1938966.93,1845765.54,181395.61,191870.57,188823.67,3232.33,3578.16,4639.58,202.33,194.9,250.58,1855396.19,1756901.22,1874960.0,224662.66,246725.03,226993.4,1576739.86,1683606.07,2082151.59,188923.22,179290.82,160380.51,5.67,4.92,3.5,6.5,2.17,36.33,2436499.19,2279630.31,2586302.94,199282.28,201407.16,219196.2,175149.76,169246.49,183977.92,369103.4,360580.18,423662.23,287331.73,291223.65,220986.09,472261.05,480091.32,562959.72,405824.13,336834.96,286021.9
SV40_NLS,56470.58,54132.41,65541.15,8439.64,9688.21,8341.31,2.5,0.83,6.67,2.0,0.0,0.0,93119.27,81754.28,98419.04,8307.04,9054.35,8352.3,3727.75,3946.42,5054.33,202.5,227.0,282.33,108866.97,74090.4,108695.8,10708.45,12458.86,11751.89,157032.54,190399.0,220160.64,14087.23,11945.98,11794.33,0.42,0.0,0.0,0.0,0.0,0.0,0.0,4.25,1.25,0.0,0.0,0.0,8628.51,8025.69,7989.72,17187.54,75695.28,18775.32,13076.86,12403.7,10352.45,22056.91,20699.66,23654.36,18775.11,14870.68,13589.43
