Position_n,Cell_ID,cell_area_pxl,cell_vol_vox,cell_area_um2,cell_vol_fl,solidity
Position_9,24,3120,129229.0781,13.182,35.48953629,0.978977094
Position_9,25,2061,65395.08203,8.707725,17.95912361,0.97539044
Position_9,43,2988,119700.3594,12.6243,32.87271118,0.97999344
Position_9,45,3352,143523.5313,14.1622,39.41514969,0.982415006
Position_9,54,2967,118231.3359,12.535575,32.46928024,0.963311688
Position_9,57,2165,70008.36719,9.147125,19.22604752,0.960940968
Position_9,58,1114,23743.9668,4.70665,6.520686626,0.975481611
Position_9,59,2022,62513.4375,8.54295,17.16775322,0.974927676
Position_9,74,3658,159556.1875,15.45505,43.81811905,0.973390101
Position_9,77,1927,63126.08594,8.141575,17.33600044,0.975696203
Position_9,80,2635,96096.90625,11.132875,26.39061165,0.981012658
Position_9,84,1940,61552.23438,8.1965,16.90378189,0.973895582
Position_9,85,1860,59666.49609,7.8585,16.38591194,0.978947368
Position_9,90,1791,55797.91016,7.566975,15.32350063,0.977620087
Position_9,101,3233,133065.8594,13.659425,36.54321289,0.952844091
Position_9,120,1571,46082.15234,6.637475,12.65531063,0.978206725
Position_9,124,1910,60742.74219,8.06975,16.68147469,0.974987238
Position_9,128,1939,63377.47656,8.192275,17.40503883,0.97486174
Position_9,138,3264,133811.7813,13.7904,36.74805832,0.976368531
Position_9,139,2812,98427.35938,11.8807,27.03061295,0.977067408
Position_9,162,3470,145108.7969,14.66075,39.85050201,0.980780102
Position_10,35,2408,83740.53125,10.1738,22.99724388,0.979259862
Position_10,45,1491,40663.11719,6.299475,11.16710854,0.975147155
Position_10,46,2208,73563.375,9.3288,20.20234108,0.95543055
Position_10,49,3130,127799.6953,13.22425,35.09699249,0.972049689
Position_10,86,3046,116214.9375,12.86935,31.91552734,0.982580645
Position_10,92,3738,167384.8438,15.79305,45.96806335,0.980330448
Position_10,104,2804,97809.60938,11.8469,26.86096382,0.976663184
Position_10,114,1066,25338.6875,4.50385,6.958636761,0.979779412
Position_10,127,1317,35442.78125,5.564325,9.733473778,0.971238938
Position_10,140,1952,64329.63672,8.2472,17.66652679,0.979919679
Position_10,149,3823,172529.875,16.152175,47.38101578,0.973268839
Position_10,153,3104,121630.2813,13.1144,33.40271378,0.97979798
Position_10,161,2220,73344.34375,9.3795,20.14219093,0.980565371
Position_10,168,1038,22934.99219,4.38555,6.298521996,0.967381174
Position_10,169,4009,171391.9375,16.938025,47.06851196,0.945965078
Position_11,5,1741,54149.41016,7.355725,14.8707819,0.974258534
Position_11,6,3240,137299.625,13.689,37.70590973,0.977670489
Position_11,10,2057,66192.02344,8.690825,18.17798424,0.974419706
Position_11,11,2223,71967.51563,9.392175,19.76407814,0.966521739
Position_11,13,832,16143.63867,3.5152,4.433446884,0.95412844
Position_11,16,2187,75833.92188,9.240075,20.82588959,0.970275067
