Position_n,basename
Position_9,251015_3537_EST_001.tif
Position_10,251015_3537_EST_002.tif
Position_11,251015_3537_EST_003.tif
Position_12,251015_3537_EST_004.tif
Position_13,251015_3537_EST_005.tif
Position_14,251015_3537_EST_006.tif
Position_15,251015_3537_EST_007.tif
Position_16,251015_3537_EST_008.tif
Position_17,251015_3537_EtOH_001.tif
Position_18,251015_3537_EtOH_002.tif
Position_19,251015_3537_EtOH_003.tif
Position_20,251015_3537_EtOH_004.tif
Position_21,251015_3537_EtOH_005.tif
Position_22,251015_3537_EtOH_006.tif
Position_23,251015_3537_EtOH_007.tif
Position_24,251015_3537_EtOH_008.tif
Position_25,251015_3537_EtOH_009.tif
Position_26,251015_3548_EST_001.tif
Position_27,251015_3548_EST_002.tif
Position_28,251015_3548_EST_003.tif
Position_29,251015_3548_EST_004.tif
Position_30,251015_3548_EST_005.tif
Position_31,251015_3548_EST_006.tif
Position_32,251015_3548_EST_007.tif
Position_33,251015_3548_EST_008.tif
Position_34,251015_3548_EtOH_001.tif
Position_35,251015_3548_EtOH_002.tif
Position_36,251015_3548_EtOH_003.tif
Position_37,251015_3548_EtOH_004.tif
Position_38,251015_3548_EtOH_005.tif
Position_39,251015_3548_EtOH_006.tif
Position_40,251015_3548_EtOH_007.tif
Position_41,251015_3548_EtOH_008.tif
